Version;Date;Description;VLAB_issue;Input_Change?;Type;Category;Sub_Category
3.30.14.08;2019-11-20;formatting fixes in .ssnew and reporting in Impl_err and F parameters in output;#71328;no;Bug;misc. output;
3.30.14.08;2019-11-08;fix problem that converted fractional data months to integers;#71109;-;fix;input;input
3.30.14.08;2019-11-08;clean-up biology function calls to pass time indexes to growth3 and Lorenzen and generally;#19553;revise;
3.30.14.08;2019-11-08;fix output issue with recruitment in time_series for seasonal models;#70658;fix;
3.30.14.08;2019-11-08;revise the nil expected value warning so it only adds a smaller constant;#70635;revise
3.30.14.08;2019-11-08;add selectivity modifier so age 0 fish can be omitted;#69509;new
3.30.14.08;2019-11-08;add more warnings to help with depletion fleets;#69772;revise
3.30.14.07;2019-10-20;new bootstrap data now functioning in forecast for out to 50 years;#30394;-;fix;forecast;calc
3.30.14.07;2019-10-16;merge writing of wtatage.ss_new into other reporting rather than separate iteration;#69960;-;revise;bodywt;calc

3.30.14.06;2019-10-15;fix Z-at-age output for N morphs>1;#69869;-;fix;output;output
3.30.14.06;2019-10-15;add option allowing age selection start at age 1;#69509;Cond;new;selectivity;calc
3.30.14.06;2019-10-15;make forecast F robust to high catches and pin at maxF;#69039;-;revise;forecast;calc
3.30.14.06;2019-10-15;various small tweaks;#68203,#66580,#68888;-;fix;misc;misc

3.30.14.05;2019-09-05;small augmentation to expected value logic, note issue with F0.1 and bycatch fleets;#68202,#68203;-;revise;bycatch;calc
3.30.14.05;2019-08-30;add reporting of time-varying age-age' key when blocks are used;#66223;-;add;age_error;output
3.30.14.04;2019-08-20;add handling of age-retention when discard option=3;-;-;revise;discard;calc
3.30.14.04;2019-08-20;add check for correct usage of asymptotic retention;-;-;revise;discard;input
3.30.14.04;2019-08-20;fix autogen of block offsets;-;-;fix;timevary;calc
3.30.14.04;2019-08-20;fix array bound for retainparm(f) to allow for age-retention;-;-;fix;discard;input
3.30.14.04;2019-08-20;fix revision of autogen to retain input values unless used;#66609;-;fix;timevary;input
3.30.14.04;2019-08-14;fix major problem that affected expected values for morph composition since creation of this feature in 3.24;#67197;-;fix;morph;calc
3.30.14.04;2019-08-14;fix the mirroring of tag recapture parameters;#65893;-;fix;tag;calc
3.30.14.04;2019-08-14;revise autogen to retain input values unless used;#66609;-;revise;timevary;input
3.30.14.03;2019-08-05;correct problem with heterogeneous catch types (bio vs num) in forecast;#66921;-;fix;forecast;calc
3.30.14.02;2019-08-01;fix output of sample size in data.ss_new for mean length@age observations;-;-;fix;output;output
3.30.14.02;2019-08-01;update a recent fix for reading annual F inputs in forecast;#64801;-;fix;forecast;calc
3.30.14.01;2019-07-23;fixes unallocated variable problem
3.30.14.01;2019-07-26;additional fix for fixed F inputs for forecast;#64801;-;fix;forecast;calc
3.30.14.01;2019-07-26;minor formatting tweaks;-;-;-;-;output
3.30.14.01;2019-07-23;Fix internal storage of annual fecundity with empirical wt-at-age;#66365;-;fix;bodywt;calc
3.30.14.01;2019-07-23;fix unassigned variable in N_Fparm;-;-;fix;Fmort;input
3.30.14.00;2019-07-19;Roll up fixes and upgrades to version 3.30.13;;Cond;release;;
3.30.14.00;2019-07-19;revise recruitment assignment algorithm to safeguard a rare situation;;;revise;recruitment;calc
